index,wnid,imagenet_label,hierarchy_depth,hierarchy_path
0,n01440764,tench,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > aquatic vertebrate > fish > bony fish > teleost fish > soft-finned fish > cypriniform fish > cyprinid > tench
1,n01443537,goldfish,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > aquatic vertebrate > fish > bony fish > teleost fish > soft-finned fish > cypriniform fish > cyprinid > goldfish
2,n01484850,great_white_shark,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > aquatic vertebrate > fish > cartilaginous fish > elasmobranch > shark > mackerel shark > great white shark
3,n01491361,tiger_shark,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > aquatic vertebrate > fish > cartilaginous fish > elasmobranch > shark > requiem shark > tiger shark
4,n01494475,hammerhead,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > aquatic vertebrate > fish > cartilaginous fish > elasmobranch > shark > hammerhead
5,n01496331,electric_ray,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > aquatic vertebrate > fish > cartilaginous fish > elasmobranch > ray > electric ray
6,n01498041,stingray,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > aquatic vertebrate > fish > cartilaginous fish > elasmobranch > ray > stingray
7,n01514668,cock,11,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > cock
8,n01514859,hen,11,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > hen
9,n01518878,ostrich,12,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > ratite > ostrich
10,n01530575,brambling,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > passerine > oscine > finch > brambling
11,n01531178,goldfinch,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > passerine > oscine > finch > goldfinch
12,n01532829,house_finch,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > passerine > oscine > finch > house finch
13,n01534433,junco,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > passerine > oscine > finch > junco
14,n01537544,indigo_bunting,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > passerine > oscine > finch > bunting > indigo bunting
15,n01558993,robin,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > passerine > oscine > thrush > robin
16,n01560419,bulbul,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > passerine > oscine > thrush > nightingale > bulbul
17,n01580077,jay,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > passerine > oscine > corvine bird > jay
18,n01582220,magpie,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > passerine > oscine > corvine bird > magpie
19,n01592084,chickadee,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > passerine > oscine > titmouse > chickadee
20,n01601694,water_ouzel,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > passerine > oscine > water ouzel
21,n01608432,kite,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > bird of prey > hawk > kite
22,n01614925,bald_eagle,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > bird of prey > eagle > bald eagle
23,n01616318,vulture,12,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > bird of prey > vulture
24,n01622779,great_grey_owl,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > bird of prey > owl > great grey owl
25,n01629819,European_fire_salamander,12,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > amphibian > salamander > European fire salamander
26,n01630670,common_newt,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > amphibian > salamander > newt > common newt
27,n01631663,eft,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > amphibian > salamander > newt > eft
28,n01632458,spotted_salamander,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > amphibian > salamander > ambystomid > spotted salamander
29,n01632777,axolotl,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > amphibian > salamander > ambystomid > axolotl
30,n01641577,bullfrog,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > amphibian > frog > true frog > bullfrog
31,n01644373,tree_frog,12,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > amphibian > frog > tree frog
32,n01644900,tailed_frog,12,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > amphibian > frog > tailed frog
33,n01664065,loggerhead,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > anapsid > chelonian > turtle > sea turtle > loggerhead
34,n01665541,leatherback_turtle,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > anapsid > chelonian > turtle > sea turtle > leatherback turtle
35,n01667114,mud_turtle,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > anapsid > chelonian > turtle > mud turtle
36,n01667778,terrapin,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > anapsid > chelonian > turtle > terrapin
37,n01669191,box_turtle,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > anapsid > chelonian > turtle > box turtle
38,n01675722,banded_gecko,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > saurian > lizard > gecko > banded gecko
39,n01677366,common_iguana,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > saurian > lizard > iguanid > common iguana
40,n01682714,American_chameleon,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > saurian > lizard > iguanid > American chameleon
